mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_110298,CCC1C2C(O)C2C1C,2.08389,1.40096,1.20534,1.3323,85.23,-0.2424,0.068,0.3103,1226.9785,0.205331,-388.26155,-388.251867,-388.250923,-388.295633,37.199
gdb_2851,OCC1CC1C=O,5.87951,1.42621,1.24696,2.6127,59.3,-0.2483,-0.0195,0.2288,926.6322,0.123723,-345.64189,-345.634288,-345.633344,-345.674029,26.593
gdb_18078,CC#CC1C2COC12,4.83398,1.21834,1.13454,1.4475,73.84,-0.2224,0.0542,0.2766,1102.0694,0.129543,-346.530283,-346.522349,-346.521405,-346.563995,28.095
gdb_36538,N#CCN=C1OC2CC12,4.57418,0.90022,0.87379,5.8752,73.04,-0.2754,-0.0059,0.2695,1327.2074,0.112518,-416.777744,-416.76987,-416.768926,-416.811937,28.426
gdb_91667,OC1CC2OC1C21CN1,2.56991,1.73865,1.37865,2.1139,71.36,-0.245,0.0652,0.3102,987.254,0.148644,-439.017007,-439.009448,-439.008504,-439.048759,30.134
gdb_112662,CCC1CC(C)C(=O)N1,3.11201,1.02557,0.82262,3.8417,83.54,-0.2352,0.0373,0.2725,1469.8085,0.194833,-404.41553,-404.40588,-404.404936,-404.450196,36.0
gdb_60941,OC(C=O)C1C2CN1C2,3.73073,1.0675,0.97283,2.3211,73.35,-0.2405,-0.0388,0.2017,1238.1474,0.147599,-438.999891,-438.991865,-438.990921,-439.033297,30.292
gdb_18668,N=C1OCCC2NC12,3.22583,2.35184,1.52192,3.5602,66.24,-0.2517,0.0123,0.264,826.652,0.133659,-379.90841,-379.901811,-379.900867,-379.93928,25.573
gdb_24391,c1[nH]c2c(n1)CN=CO2,3.80356,1.69286,1.17991,3.5871,67.35,-0.2074,0.0029,0.2102,951.8765,0.1051,-432.904781,-432.898365,-432.897421,-432.935699,24.913
gdb_79494,OC1C2C3CN2C13C#N,2.33131,1.91836,1.24693,3.2515,70.83,-0.2597,-0.006,0.2537,980.4212,0.113068,-416.710649,-416.703385,-416.70244,-416.742337,27.942
gdb_28450,Cc1cc(c(nc1)C)N,3.06491,1.32923,0.93877,2.9641,88.84,-0.2046,-0.007,0.1975,1264.7685,0.1602,-382.147153,-382.138161,-382.137216,-382.180739,34.014
gdb_51250,C1CC(=O)C=C1NC=O,4.88102,0.93525,0.79244,3.8304,78.8,-0.2324,-0.0498,0.1826,1351.0367,0.125251,-437.958893,-437.950802,-437.949858,-437.99228,29.459
gdb_13813,CC(O)C1NC1CO,3.83352,1.14487,1.00035,3.2717,67.99,-0.2482,0.0675,0.3157,1211.3104,0.164468,-402.162946,-402.153635,-402.152691,-402.197499,33.587
gdb_63008,CC1(O)C2CC2C2NC12,2.41643,1.73937,1.50576,1.6831,77.17,-0.2328,0.072,0.3048,996.8135,0.171714,-403.114604,-403.106597,-403.105653,-403.146363,33.023
gdb_94522,OC1CCC1C(=O)C#N,3.07064,1.17438,0.99557,3.1344,70.92,-0.275,-0.0974,0.1776,1186.5003,0.123748,-437.890859,-437.882337,-437.881393,-437.924883,30.898
gdb_42211,C1CNC=C1C(=O)C#N,3.36477,1.16085,0.87416,7.6247,79.85,-0.2227,-0.0717,0.151,1240.1746,0.113877,-416.845148,-416.836877,-416.835932,-416.878734,29.296
gdb_35499,N#CC1CC2CC=CC12,3.21392,1.36646,1.14881,4.2976,80.69,-0.2529,0.0067,0.2596,1093.3964,0.150222,-364.832946,-364.825521,-364.824577,-364.865139,28.963
gdb_64521,CC1(C=O)C2CC3C2N13,2.96793,1.6301,1.40561,2.3792,74.7,-0.246,-0.0266,0.2194,978.6492,0.146819,-401.887488,-401.879612,-401.878668,-401.920024,30.303
gdb_30708,Cc1c(c[nH]c1CO)O,3.08714,1.17355,0.87207,2.8451,76.75,-0.1789,0.0413,0.2203,1297.0261,0.146696,-439.113231,-439.103413,-439.102469,-439.148121,35.224
gdb_81097,CN1C2CC1(C=O)C2O,2.14061,1.52315,1.4499,1.1645,73.86,-0.2157,-0.0429,0.1728,1045.1565,0.145442,-439.001798,-438.992891,-438.991947,-439.035662,32.88
gdb_13800,COC1CC1C(N)=O,2.80905,1.79879,1.34961,2.6733,65.08,-0.24,0.0262,0.2662,961.0081,0.141032,-401.003497,-400.994714,-400.99377,-401.037245,31.433
gdb_6040,CCC(C)(C)C(=O)N,2.85357,1.47891,1.34887,3.3182,74.52,-0.2376,0.0373,0.2749,1069.3029,0.186481,-366.310682,-366.300388,-366.299444,-366.345932,37.44
gdb_39619,C1CC(=C2CCC=C2)C1,4.42526,0.97468,0.82088,0.2277,99.05,-0.1947,-0.007,0.1877,1439.707,0.183629,-349.96634,-349.957765,-349.956821,-350.000787,32.179
gdb_91887,CC1OC2CC2C(=N)O1,2.43653,1.76046,1.1197,2.2339,74.01,-0.2578,0.0145,0.2723,1091.5567,0.148327,-439.090285,-439.082348,-439.081404,-439.122816,30.698
gdb_119284,CCCC1(COC1)C#N,2.16092,1.16902,0.88443,3.0064,79.22,-0.2689,0.0205,0.2894,1391.2998,0.170217,-403.146304,-403.136656,-403.135712,-403.181489,34.386
gdb_104968,OCC1(CO1)C(=O)C#C,2.50035,1.35208,1.08459,3.5513,68.41,-0.2657,-0.0702,0.1956,1129.5544,0.109131,-457.704172,-457.694989,-457.694044,-457.738777,32.607
gdb_67608,CC12C3OC4C(CC14)C23,2.68305,2.15892,1.67013,1.4008,76.54,-0.2325,0.0973,0.3297,890.8461,0.162323,-385.874546,-385.868089,-385.867145,-385.904951,27.692
gdb_16416,OC1C=CC2CC1O2,3.53919,2.29603,1.8696,2.2451,64.08,-0.2433,-0.0053,0.238,753.9291,0.132777,-383.718241,-383.712015,-383.711071,-383.748286,25.418
gdb_111672,OCC1C2COC(=N)N12,2.4373,1.74004,1.31943,4.3303,68.69,-0.2595,0.0153,0.2748,995.9677,0.137925,-455.124406,-455.116718,-455.115773,-455.156767,29.274
gdb_120919,COCC1OC2C(C)C12,3.1303,0.98202,0.88456,1.2145,79.34,-0.2347,0.0717,0.3064,1423.5272,0.181187,-424.165795,-424.156366,-424.155422,-424.20068,34.472
gdb_111363,CCC1C2NC2C1C#C,2.01343,1.66854,1.09472,2.0368,84.66,-0.2298,0.0491,0.2789,1181.0162,0.170134,-365.933537,-365.924527,-365.923582,-365.967116,34.545
gdb_118405,CCC(=NCC)OCC,1.8078,1.02563,0.70401,0.699,90.43,-0.2376,0.0347,0.2723,1742.2481,0.214803,-405.569228,-405.557609,-405.556665,-405.608125,40.446
gdb_125264,CC1=CC(OC=N)=NO1,7.30577,0.83315,0.7526,2.8187,72.67,-0.2581,-0.0195,0.2386,1451.6111,0.111792,-453.942554,-453.934056,-453.933112,-453.977007,29.415
gdb_66599,CC12C3C4C=C1CC4N23,3.04048,2.03254,1.87712,1.5639,80.7,-0.2011,-0.0789,0.1222,845.7508,0.148271,-364.658406,-364.65176,-364.650816,-364.688797,28.276
gdb_22302,C1CC(=CC(=NO)C1)N,2.54005,1.27252,0.87703,3.1138,87.4,-0.187,-0.0032,0.1838,1307.0555,0.160955,-419.2007,-419.192073,-419.191128,-419.233675,33.908
gdb_121527,[NH3+]CCCC#CC([O-])=O,2.8159,0.98014,0.7516,7.8809,77.22,-0.2538,-0.0174,0.2364,1473.3073,0.147729,-439.086971,-439.077398,-439.076454,-439.12211,33.98
gdb_104232,CN=C1NCC1(O)CO,2.16817,1.46866,1.07722,3.4641,75.07,-0.2315,0.023,0.2545,1193.6771,0.158481,-456.326347,-456.316674,-456.31573,-456.361048,35.137
gdb_24649,c1ccnc(c1)N2CC2,4.36054,1.23661,1.00621,1.7922,84.44,-0.2171,-0.0152,0.2019,1164.1571,0.138965,-380.903658,-380.896443,-380.895499,-380.935807,27.761
gdb_70742,CC12CC1OCCCO2,2.46162,1.6617,1.22472,1.8189,78.91,-0.2344,0.0834,0.3178,1102.2743,0.183043,-424.209408,-424.201104,-424.20016,-424.241667,33.282
gdb_24535,c1c-2cnc[nH]c2cn1,4.10858,1.65862,1.18161,4.1994,79.06,-0.2003,-0.0676,0.1327,949.5469,0.106207,-395.781214,-395.775265,-395.774321,-395.811404,24.002
gdb_122609,COCCN1CCC1=O,3.29855,0.89781,0.77882,3.5594,78.51,-0.2378,0.0399,0.2777,1516.389,0.170237,-440.296481,-440.286758,-440.285814,-440.332548,33.825
gdb_27286,c1cn2c(c1N)OCC2,3.09588,1.63888,1.09431,2.8615,76.18,-0.1637,0.0529,0.2165,1071.514,0.138966,-418.022536,-418.014733,-418.013789,-418.05489,29.609
